event,a,b,c,a2,b2,c2,name2,distance,performance_type
50m,95.8223538630,-9.1994010874,-0.3765978316,95.8223538630,-1763.0165326416,8108.9715058788,TRACK_50,50,TIME
50mH,34.2123772242,-12.3484992509,-0.2978589247,34.2123772242,-844.9430290468,5216.5913216741,TRACK_50H,50,TIME
55m,78.9227608846,-9.9991682963,-0.3262593216,78.9227608846,-1578.3239369813,7890.6370766240,TRACK_55,55,TIME
55mH,30.0853077082,-13.3476676416,-0.2329919571,30.0853077082,-803.1373763714,5359.7723932313,TRACK_55H,55,TIME
60m,68.6203220047,-10.6992800164,-0.3594275681,68.6203220047,-1468.3760798802,7854.9239964072,TRACK_60,60,TIME
60mH,23.9163242706,-14.5966339421,-0.1644943777,23.9163242706,-698.1956612355,5095.4887491231,TRACK_60H,60,TIME
200m,5.0432159856,-35.9910107213,0.1193936923,5.0432159856,-363.0208812156,6532.8636076395,TRACK_200,200,TIME
300m,1.8029166507,-57.9959412461,-0.0339878087,1.8029166507,-209.1236962927,6064.1288138733,TRACK_300,300,TIME
400m,0.9810343085,-80.5943092492,0.0100805172,0.9810343085,-158.1315648828,6372.2622016281,TRACK_400,400,TIME
500m,0.5649640314,-105.9967162205,-0.0223133096,0.5649640314,-119.7686642178,6347.5202432898,TRACK_500,500,TIME
600m,0.3899861153,-130.9961383961,-0.0107176039,0.3899861153,-102.1733502543,6692.1464475457,TRACK_600,600,TIME
800m,0.1973925611,-183.9969956062,-0.0163487860,0.1973925611,-72.6392763867,6682.6879602903,TRACK_800,800,TIME
1000m,0.1138977865,-239.9960148998,-0.0046409292,0.1138977865,-54.6700297530,6560.2899966633,TRACK_1000,1000,TIME
1500m,0.0419999885,-385.9950544882,-0.0003541283,0.0419999885,-32.4235757036,6257.6695810823,TRACK_1500,1500,TIME
Mile,0.0369000074,-414.9952787475,-0.0011489453,0.0369000074,-30.6266577270,6354.9580313113,TRACK_1MILE,1609,TIME
2000m,0.0226000035,-527.9948971024,0.0000435776,0.0226000035,-23.8653730738,6300.3976437797,TRACK_2000,2000,TIME
3000m,0.0083219192,-839.9970746667,-0.0027639444,0.0083219192,-13.9807755208,5871.9025055720,TRACK_3000,3000,TIME
2 Miles,0.0072099692,-906.9958053163,-0.0012099440,0.0072099692,-13.0788236193,5931.2178706586,TRACK_2MILES,3218,TIME
5000m,0.0029000031,-1439.9944442896,0.0004079214,0.0029000031,-8.3519768449,6013.4005356887,TRACK_5000,5000,TIME
4x200m,0.3119844823,-143.9971416694,-0.0252237437,0.3119844823,-89.8497473875,6469.0281780116,TRACK_4x200,800,TIME
4x400m,0.0489005767,-339.9937188583,0.0054240683,0.0489005767,-33.2517778689,5652.7032322097,TRACK_4x400,1600,TIME
HJ,32.1457081634,11.5936889433,-5026.0808417004,32.1457081634,745.3746826142,-705.2597334942,HIGH_JUMP,,DISTANCE
LJ,1.9310928730,48.3486190515,-4993.8077931235,1.9310928730,186.7313473363,-479.7064044571,LONG_JUMP,,DISTANCE
TJ,0.4603666024,98.8014630138,-5008.9686647032,0.4603666024,90.9697876805,-514.9946082622,TRIPLE_JUMP,,DISTANCE
PV,3.0457199209,39.3358603090,-4993.2138282251,3.0457199209,239.6120266961,-280.5412229935,POLE_VAULT,,DISTANCE
SP,0.0423461436,684.8281542324,-19915.7245727669,0.0423461436,57.9996626593,-55.8236102462,SHOT_PUT,,DISTANCE
Heptathlon,0.0000017511,53203.5391079802,-5002.8876894102,0.0000017511,0.1863299980,-46.1800221168,HEPTATHLON,,MULTI
