event,a,b,c,a2,b2,c2
100m,9.9274264508,-21.9933700028,0.0421329658,9.9274264508,-436.6751262151,4802.0209439103,TRACK_100,100,TIME
200m,2.2422237149,-45.4938200765,0.0245765276,2.2422237149,-204.0146445160,4640.7273418160,TRACK_200,200,TIME
300m,0.6999743364,-76.9959087143,-0.0139944400,0.6999743364,-107.7903202163,4149.6928333868,TRACK_300,300,TIME
400m,0.3350059758,-109.9942273774,0.0076554298,0.3350059758,-73.6974469594,4053.1545244199,TRACK_400,400,TIME
600m,0.1191983841,-183.9955892216,-0.0026515132,0.1191983841,-43.8639538207,4035.3843629007,TRACK_600,600,TIME
800m,0.0687998934,-249.9950232947,-0.0000169472,0.0687998934,-34.3992619166,4299.8221251287,TRACK_800,800,TIME
1000m,0.0381997085,-329.9958136040,-0.0021547584,0.0381997085,-25.2114877937,4159.8405585710,TRACK_1000,1000,TIME
1500m,0.0133999963,-539.9949703133,-0.0005396117,0.0133999963,-14.4718611766,3907.3655836022,TRACK_1500,1500,TIME
Mile,0.0116499986,-579.9949693123,0.0004597245,0.0116499986,-13.5138811631,3918.9920049546,TRACK_1MILE,1609,TIME
2000m,0.0067660105,-749.9948524357,0.0001847193,0.0067660105,-10.1489460307,3805.8288250570,TRACK_2000,2000,TIME
3000m,0.0025389975,-1199.9953765729,-0.0002368852,0.0025389975,-6.0935704286,3656.1279336620,TRACK_3000,3000,TIME
2 Miles,0.0021569983,-1296.2954038511,-0.0002368758,0.0021569983,-5.5922138567,3624.5803229908,TRACK_2MILES,3218,TIME
5000m,0.0008079992,-2099.9956378883,-0.0001983631,0.0008079992,-3.3935897886,3563.2616780071,TRACK_5000,5000,TIME
10000m,0.0001712001,-4499.9938896899,0.0003416155,0.0001712001,-1.5407987391,3466.7927971691,TRACK_10000,10000,TIME
100mH,3.9822963262,-29.9904801411,0.1130387851,3.9822963262,-238.8619577730,3581.9054393083,TRACK_100H,100,TIME
400mH,0.2085649572,-129.9952469068,-0.0011574468,0.2085649572,-54.2249062110,3524.4888782502,TRACK_400H,400,TIME
2000m SC,0.0045000012,-879.9946744771,0.0008898666,0.0045000012,-7.9199541425,3484.7596236255,TRACK_2000SC,2000,TIME
3000m SC,0.0013229981,-1509.9954525199,-0.0000262420,0.0013229981,-3.9954423351,3016.5498521756,TRACK_3000SC,3000,TIME
4x100m,0.3895003606,-97.9948488911,0.0029041676,0.3895003606,-76.3380579659,3740.3711316750,TRACK_4x100,400,TIME
4x200m,0.0794985466,-211.9961734118,-0.0049477681,0.0794985466,-33.7067753300,3572.8487462398,TRACK_4x200,800,TIME
4x400m,0.0156200769,-479.9939979174,0.0031084665,0.0156200769,-14.9950863034,3598.7788204045,TRACK_4x400,1600,TIME
10 Miles,0.0000629227,-7442.9281908396,-1.5114193388,0.0000629227,-0.9366580392,3484.2278432175,ROAD_10MILES,16093,TIME
10 km,0.0001742174,-4499.3528828064,0.0243306244,0.0001742174,-1.5677312408,3526.9123694164,ROAD_10KM,10000,TIME
15 km,0.0000731609,-6906.5611018839,-0.5782751919,0.0000731609,-1.0105803067,3489.2390432064,ROAD_15KM,15000,TIME
20 km,0.0000402578,-9261.9496559199,21.6626121351,0.0000402578,-0.7457311644,3475.1248628831,ROAD_20KM,20000,TIME
3km W,0.0008815855,-1870.3738882049,0.0003505436,0.0008815855,-3.2977891198,3084.0496797973,WALK_3KM,3000,TIME
5km W,0.0003247214,-3139.1595926748,0.0774715361,0.0003247214,-2.0387046061,3199.9870319941,WALK_5KM,5000,TIME
10km W,0.0000778881,-6437.0637511592,-0.1615280468,0.0000778881,-1.0027415554,3227.1941311241,WALK_10KM,10000,TIME
HJ,39.5579087445,10.5082093421,-4969.5880642855,39.5579087445,831.3655724460,-601.5063267492,HIGH_JUMP,,DISTANCE
LJ,1.9581140326,49.4597044183,-5024.0505434215,1.9581140326,193.6954825442,-233.9898865274,LONG_JUMP,,DISTANCE
TJ,0.4296645887,105.1320544518,-4980.6423815636,0.4296645887,90.3430418781,-231.6675825305,TRIPLE_JUMP,,DISTANCE
DT,0.0040284238,2226.8877644471,-19996.2817097077,0.0040284238,17.9416953835,-19.2107481937,DISCUS_THROW,,DISTANCE
HT,0.0030967240,2539.8077202523,-19998.4991354651,0.0030967240,15.7301668765,-22.6994985433,HAMMER_THROW,,DISTANCE
JT,0.0040722745,2215.2996127575,-20003.7430818798,0.0040722745,18.0426160529,-18.8429043395,JAVELIN_THROW,,DISTANCE
PV,3.9325797501,35.0265857026,-5029.8531935972,3.9325797501,275.4896832994,-205.1216924619,POLE_VAULT,,DISTANCE
SP,0.0462143876,657.3172794694,-19993.5978247992,0.0462143876,60.7550311138,-25.9319418889,SHOT_PUT,,DISTANCE
Heptathlon,0.0000015806,56004.0768596358,-5001.3485654597,0.0000015806,0.1770408921,-43.8427006478,HEPTATHLON,,MULTI
